ranking,name,nationality,side,points,ranking_diff,points_diff,date
1,Delfina Brea Senesi,AR,Drive,17723,0,-71,2026-06-22
1,Gemma Triay Pons,ES,Reves,17723,0,-71,2026-06-22
3,Beatriz Gonzalez Fernandez,ES,Reves,14731,0,-26,2026-06-22
4,Paula Josemaria Martin,ES,Drive,14026,0,-43,2026-06-22
5,Ariana Sanchez Fallada,ES,Reves,13606,0,-43,2026-06-22
6,Claudia Fernandez Sanchez,ES,Drive,11981,0,-26,2026-06-22
7,Andrea Ustero Prieto,ES,Drive,9568,0,-6,2026-06-22
8,Sofia Araujo,PT,Reves,7566,0,-13,2026-06-22
9,Tamara Icardo Alcorisa,ES,Reves,6326,0,-13,2026-06-22
10,Marta Ortega Gallego,ES,Drive,6236,0,-13,2026-06-22
11,Claudia Jensen,AR,Drive,5681,0,-13,2026-06-22
12,Martina Calvo Santamaria,ES,Reves,5273,0,-6,2026-06-22
13,Alejandra Salazar Bengoechea,ES,Drive,4981,0,-26,2026-06-22
14,Alejandra Alonso De Villa,ES,Reves,4768,0,-6,2026-06-22
15,Veronica Virseda,ES,Reves,4521,0,224,2026-06-22
16,Marina Guinart,ES,Drive,4068,0,204,2026-06-22
17,Beatriz Caldera Sanchez,ES,Drive,3501,0,32,2026-06-22
17,Carmen Goenaga Garcia,ES,Reves,3501,0,32,2026-06-22
19,Aranzazu Osoro Ulrich,AR,Drive,3254,0,2,2026-06-22
20,Victoria Iglesias Segador,ES,Reves,2943,0,-1,2026-06-22
21,Lucia Sainz Pelegri,ES,Drive,2836,0,27,2026-06-22
22,Patricia Llaguno Zielinski,ES,Reves,2811,0,117,2026-06-22
23,Martina Fassio Goyeneche,AR,Drive,2634,0,-3,2026-06-22
24,Raquel Eugenio Barrera,ES,Reves,2614,0,-3,2026-06-22
25,Jessica Castello Lopez,ES,Reves,2364,0,-3,2026-06-22
25,Lorena Rufo Ortiz,ES,Drive,2364,0,-3,2026-06-22
27,Nuria Rodriguez,ES,Reves,2358,0,-6,2026-06-22
28,Carolina Orsi,IT,Drive,2238,-2,129,2026-06-22
29,Jimena Velasco Postiguillo,ES,Drive,2194,1,-3,2026-06-22
30,Marta Barrera De La Fuente,ES,Reves,2163,1,-6,2026-06-22
